ID,Date House was Sold,Sale Price,No of Bedrooms,No of Bathrooms,Flat Area (in Sqft),Lot Area (in Sqft),No of Floors,Waterfront View,No of Times Visited,Condition of the House,Overall Grade,Area of the House from Basement (in Sqft),Basement Area (in Sqft),Age of House (in Years),Renovated Year,Zipcode,Latitude,Longitude,Living Area after Renovation (in Sqft),Lot Area after Renovation (in Sqft)
9828200460,15 January 2016,430000.0,2,1.0,700.0,4800.0,1.0,No,,Fair,7,700.0,0,96,0,98122.0,47.6147,-122.3,1440.0,4800
6345000160,14 August 2017,900000.0,5,3.0,4350.0,37169.0,2.0,No,,Fair,10,2950.0,1400,46,0,98005.0,47.6518,-122.16,3280.0,41631
7129304105,14 July 2017,285000.0,4,2.0,1760.0,5500.0,1.0,No,Once,Fair,7,780.0,980,93,2004,98118.0,47.5183,-122.265,1510.0,5500
4302201005,14 October 2017,353900.0,3,1.75,1560.0,5760.0,1.0,No,,Excellent,6,780.0,780,91,0,98106.0,47.5272,-122.359,1320.0,7680
2450500110,14 May 2017,780000.0,4,1.75,2480.0,9195.0,1.0,No,,Fair,7,1390.0,1090,68,0,98004.0,47.584,-122.195,2440.0,9195
5166700050,15 February 2016,600000.0,5,2.25,2760.0,6350.0,1.0,No,,Fair,7,1380.0,1380,60,0,98126.0,47.5561,-122.379,2060.0,6342
1085623710,14 July 2017,447055.0,4,2.5,2448.0,4949.0,2.0,No,,Fair,9,2448.0,0,4,0,98030.0,47.3428,-122.179,2815.0,5446
1123049129,15 February 2016,284200.0,3,1.75,1540.0,6632.0,1.0,No,,Fair,7,1070.0,470,59,0,98178.0,47.4973,-122.252,2510.0,6618
8566100200,14 May 2017,980000.0,5,2.5,3160.0,11470.0,1.0,No,,Good,9,1780.0,1380,47,0,98040.0,47.5368,-122.216,3260.0,11470
1774000780,15 January 2016,469500.0,4,2.75,1930.0,13041.0,1.0,No,,Good,8,1180.0,750,38,0,98072.0,47.7502,-122.085,1880.0,10234
9492500170,14 July 2017,879950.0,4,2.75,3020.0,7203.0,2.0,No,,Fair,9,3020.0,0,4,0,98033.0,47.6948,-122.178,3010.0,7215
686530530,14 August 2017,570000.0,5,1.75,2510.0,9750.0,1.5,No,,Fair,8,2510.0,0,49,0,98052.0,47.6635,-122.149,1900.0,9750
4022907770,14 October 2017,550000.0,4,1.75,2480.0,14782.0,1.0,No,Thrice,Fair,8,1460.0,1020,60,0,98155.0,47.7646,-122.271,2910.0,10800
6052400975,14 August 2017,325000.0,3,1.0,1590.0,8160.0,1.0,No,Once,Fair,7,1090.0,500,64,0,98198.0,47.4013,-122.321,1540.0,10500
3438502501,14 July 2017,400000.0,5,2.5,2510.0,7525.0,1.5,No,,Good,7,1710.0,800,89,0,98106.0,47.5422,-122.359,1270.0,6741
3758900023,14 May 2017,1130000.0,4,3.25,3810.0,8519.0,1.0,No,Once,Fair,10,2680.0,1130,11,0,98033.0,47.699,-122.207,3240.0,10748
1645000580,14 October 2017,270000.0,4,2.5,1900.0,8282.0,1.0,No,,Fair,7,1900.0,0,50,1997,98022.0,47.2089,-122.003,1420.0,8350
8099200030,14 December 2017,232000.0,3,1.5,1390.0,11340.0,1.0,No,,Good,7,1390.0,0,55,0,98031.0,47.3984,-122.186,1740.0,11340
7635801371,14 July 2017,540000.0,4,1.5,2993.0,19400.0,2.0,No,,Good,7,2233.0,760,97,0,98166.0,47.4692,-122.365,2060.0,15100
3456000310,14 August 2017,840000.0,4,1.75,2480.0,11010.0,1.0,No,,Good,9,1630.0,850,52,0,98040.0,47.5378,-122.219,2770.0,10744
2025059150,14 July 2017,1040000.0,4,1.75,1440.0,13296.0,1.0,No,,Good,8,1440.0,0,51,0,98004.0,47.634,-122.204,3520.0,10802
2624039114,15 April 2016,360000.0,2,1.0,1120.0,12625.0,1.0,No,Thrice,Fair,7,1120.0,0,78,0,98136.0,47.5397,-122.385,1880.0,6828
3348401095,15 April 2016,210000.0,4,1.75,2090.0,6485.0,1.0,No,,Fair,7,1280.0,810,62,0,98178.0,47.4958,-122.265,2190.0,9600
6633900170,14 May 2017,595000.0,3,2.5,1750.0,3354.0,2.0,No,,Good,7,1750.0,0,27,0,98033.0,47.6953,-122.199,1750.0,4286
2600000510,14 July 2017,686000.0,4,2.25,2130.0,10650.0,2.0,No,,Good,8,2130.0,0,41,0,98006.0,47.5567,-122.159,3380.0,10050
9414700020,15 April 2016,331000.0,4,3.0,2483.0,5701.0,2.0,No,,Fair,8,2483.0,0,13,0,98030.0,47.3623,-122.199,2075.0,5720
3204800520,15 February 2016,399500.0,3,1.75,1410.0,7700.0,1.0,No,,Good,7,1410.0,0,51,0,98056.0,47.5375,-122.176,1560.0,7700
1844500025,15 March 2016,355000.0,4,1.0,1410.0,7693.0,1.5,No,,Good,7,1410.0,0,65,0,98133.0,47.7604,-122.331,1330.0,8395
4137010590,14 May 2017,420000.0,4,2.5,3040.0,24123.0,2.0,No,,Fair,8,3040.0,0,19,0,98092.0,47.2667,-122.216,2420.0,10026
8564950280,14 October 2017,533000.0,3,2.5,2810.0,4607.0,2.0,No,,Fair,8,2810.0,0,14,0,98011.0,47.7735,-122.227,2540.0,4871
1338800491,14 October 2017,799500.0,4,2.5,2760.0,5750.0,2.0,No,,Fair,8,2760.0,0,25,0,98112.0,47.627,-122.303,2760.0,5390
4058801702,15 February 2016,800000.0,4,2.5,4940.0,10037.0,1.0,No,Four,Fair,9,3450.0,1490,65,0,98178.0,47.5095,-122.247,2430.0,9272
461004720,15 April 2016,563000.0,3,2.0,1380.0,5000.0,1.5,No,,Good,7,1380.0,0,101,0,98117.0,47.6807,-122.369,1350.0,5000
3123059107,14 May 2017,555000.0,3,2.5,3050.0,158558.0,1.0,No,,Good,9,3050.0,0,31,0,98055.0,47.4326,-122.208,2960.0,31050
6819100380,14 August 2017,642000.0,3,1.0,1040.0,4480.0,1.0,No,,Fair,7,870.0,170,94,0,98109.0,47.6461,-122.356,1730.0,4200
1193000390,14 June 2017,1300000.0,5,4.0,3366.0,7800.0,2.5,No,Twice,Fair,8,2966.0,400,81,0,98199.0,47.6466,-122.391,2340.0,6000
3450300270,15 April 2016,268000.0,5,1.75,1730.0,10368.0,1.0,No,,Excellent,7,1010.0,720,55,0,98059.0,47.5008,-122.162,1730.0,7728
3110800040,14 July 2017,269900.0,3,2.25,1740.0,9672.0,1.0,No,,Good,7,1110.0,630,55,0,98031.0,47.4149,-122.181,1640.0,9600
1437910090,15 January 2016,520000.0,4,2.5,2410.0,6440.0,1.0,No,,Fair,8,1550.0,860,44,0,98034.0,47.7153,-122.191,2330.0,6938
3645500050,14 May 2017,543000.0,3,2.5,2090.0,7640.0,1.0,No,,Fair,7,1360.0,730,56,2014,98133.0,47.7369,-122.338,2090.0,7668
4338800600,14 June 2017,235000.0,3,1.0,1590.0,13000.0,1.5,No,,Fair,6,1590.0,0,74,0,98166.0,47.4789,-122.346,1460.0,8400
2114700530,15 January 2016,360000.0,4,1.0,1460.0,3840.0,1.5,No,,Fair,8,1340.0,120,90,0,98106.0,47.533,-122.347,990.0,4200
6381500450,14 November 2017,380950.0,2,1.0,1430.0,7819.0,1.0,No,,Fair,7,1110.0,320,74,0,98125.0,47.7307,-122.302,1380.0,7473
9206950200,15 March 2016,352000.0,2,2.5,1320.0,1957.0,1.0,No,,Fair,8,660.0,660,14,0,98106.0,47.5364,-122.365,1420.0,2198
4232900940,14 May 2017,926300.0,3,1.5,1660.0,4800.0,2.0,No,,Fair,8,1660.0,0,111,0,98119.0,47.6352,-122.358,1690.0,4000
1025049174,14 May 2017,1260000.0,4,2.5,3200.0,7535.0,2.0,No,,Fair,9,3200.0,0,12,0,98105.0,47.666,-122.276,1650.0,6850
7774200070,15 April 2016,725000.0,4,2.5,2750.0,13950.0,1.0,No,Thrice,Good,8,1380.0,1370,70,0,98146.0,47.4938,-122.364,2460.0,13950
1231000310,14 August 2017,713000.0,1,1.0,1180.0,4000.0,1.5,No,Twice,Good,8,840.0,340,108,0,98118.0,47.5561,-122.266,1420.0,4000
8155870200,14 May 2017,349900.0,4,2.5,2052.0,3723.0,2.0,No,,Fair,8,2052.0,0,4,0,98003.0,47.2824,-122.295,2052.0,5250
7935000625,15 April 2016,975000.0,3,2.5,2530.0,7000.0,2.5,No,Four,Fair,9,2530.0,0,103,1999,98136.0,47.5465,-122.398,2380.0,7000
2426049079,15 May 2016,330000.0,3,1.0,1060.0,20040.0,1.0,No,,Fair,6,1060.0,0,75,0,98034.0,47.7281,-122.235,1768.0,10800
4037500230,14 October 2017,400000.0,5,2.25,2070.0,10488.0,1.0,No,,Good,7,1080.0,990,60,0,98008.0,47.6095,-122.122,1740.0,9225
2331550120,14 September 2017,310000.0,4,2.5,2440.0,7093.0,2.0,No,,Fair,7,2440.0,0,19,0,98030.0,47.3817,-122.204,1860.0,6072
7974200765,14 September 2017,485000.0,3,1.0,1020.0,6120.0,1.0,No,,Fair,7,1020.0,0,77,0,98115.0,47.6787,-122.285,2370.0,6695
686200510,14 November 2017,643000.0,3,2.75,2030.0,7700.0,1.0,No,,Excellent,8,1400.0,630,53,0,98008.0,47.626,-122.112,1780.0,8160
4024100670,15 May 2016,605000.0,3,2.25,2260.0,17114.0,2.0,No,,Fair,7,2260.0,0,28,0,98155.0,47.7537,-122.296,2360.0,14893
3834500195,14 July 2017,527000.0,6,3.5,3000.0,8401.0,1.0,No,,Fair,8,1500.0,1500,39,0,98125.0,47.7226,-122.299,1400.0,8403
3526059115,15 April 2016,515000.0,5,3.0,2670.0,11761.0,1.0,No,,Fair,7,1370.0,1300,37,0,98052.0,47.6895,-122.129,2580.0,10703
7950304075,14 August 2017,225000.0,4,1.0,1150.0,6000.0,1.5,No,,Fair,6,1150.0,0,111,0,98118.0,47.562,-122.283,840.0,3030
1386800054,14 December 2017,283450.0,5,2.75,2770.0,6116.0,1.0,No,,Fair,7,1490.0,1280,39,0,98168.0,47.4847,-122.291,1920.0,6486
9834200165,15 April 2016,704300.0,4,1.5,1790.0,4080.0,1.5,No,,Excellent,7,1790.0,0,90,0,98144.0,47.5749,-122.291,1710.0,4080
6147650300,14 October 2017,270000.0,3,2.25,2100.0,14027.0,2.0,No,,Fair,8,2100.0,0,39,0,98042.0,47.3833,-122.1,2730.0,5999
6891800360,14 September 2017,609000.0,3,2.5,2630.0,10131.0,2.0,No,,Fair,9,2630.0,0,29,0,98028.0,47.7695,-122.259,2800.0,10123
9170500060,14 August 2017,649000.0,4,2.0,2240.0,11040.0,1.0,No,,Excellent,8,1120.0,1120,57,0,98033.0,47.693,-122.168,1790.0,11040
65000260,14 August 2017,830000.0,3,2.5,3370.0,6550.0,2.0,No,Twice,Good,8,2840.0,530,106,2001,98126.0,47.5442,-122.38,1500.0,6550
7784400130,14 May 2017,497300.0,6,2.75,3200.0,9200.0,1.0,No,Twice,Good,8,1600.0,1600,65,0,98146.0,47.492,-122.364,2220.0,9500
7941140070,15 March 2016,400000.0,3,2.25,1500.0,2692.0,2.0,No,,Fair,7,1500.0,0,32,0,98034.0,47.7159,-122.203,1470.0,2418
2122049096,14 August 2017,182500.0,2,1.0,1040.0,13920.0,1.0,No,,Fair,6,1040.0,0,45,0,98198.0,47.3756,-122.306,1100.0,7575
6003000851,14 May 2017,353000.0,1,1.0,550.0,1279.0,2.0,No,,Fair,7,550.0,0,10,0,98122.0,47.616,-122.314,1460.0,1385
7203220050,14 November 2017,988830.0,5,3.25,4115.0,7910.0,2.0,No,,Fair,9,4115.0,0,4,0,98053.0,47.6847,-122.016,3950.0,6765
8898700960,14 June 2017,329950.0,3,2.5,1820.0,8085.0,2.0,No,,Fair,7,1820.0,0,35,0,98055.0,47.4575,-122.204,1860.0,8625
5245600105,14 September 2017,228000.0,3,1.0,1190.0,9199.0,1.0,No,,Fair,7,1190.0,0,63,0,98148.0,47.4258,-122.322,1190.0,9364
3530470190,15 May 2016,220000.0,1,1.5,1100.0,3451.0,1.5,No,,Good,8,1100.0,0,40,0,98198.0,47.3829,-122.322,1400.0,4560
7883603965,15 February 2016,315000.0,4,2.0,1210.0,4250.0,1.0,No,,Good,7,1210.0,0,77,0,98108.0,47.5275,-122.321,1210.0,6000
4022902505,14 July 2017,470000.0,3,2.25,2220.0,9800.0,2.0,No,,Fair,8,2220.0,0,31,0,98155.0,47.7635,-122.286,2420.0,10232
3211100240,14 May 2017,349000.0,4,1.75,1700.0,7800.0,1.0,No,,Excellent,7,1120.0,580,37,0,98059.0,47.4801,-122.158,1560.0,7800
5119010090,14 May 2017,549900.0,5,2.75,3060.0,7015.0,1.0,No,,Excellent,8,1600.0,1460,39,0,98146.0,47.5052,-122.372,2190.0,7600
3821000100,15 March 2016,249950.0,4,1.75,1620.0,10530.0,1.0,No,,Fair,7,1620.0,0,50,0,98030.0,47.3808,-122.211,1890.0,9975
7301300050,14 November 2017,375000.0,3,2.5,1930.0,6180.0,1.0,No,,Fair,7,1330.0,600,57,0,98155.0,47.7481,-122.327,1940.0,6180
2171400197,14 September 2017,350000.0,5,3.0,2520.0,5500.0,1.0,No,,Fair,8,1550.0,970,14,0,98178.0,47.4938,-122.255,1700.0,8000
9471201175,14 May 2017,1580000.0,4,3.25,3760.0,10920.0,1.5,No,,Excellent,9,2400.0,1360,68,0,98105.0,47.6687,-122.264,3430.0,11050
2473450200,15 March 2016,385000.0,4,3.0,2740.0,10925.0,1.0,No,,Fair,8,1670.0,1070,38,0,98058.0,47.4538,-122.125,2330.0,9940
2258500045,14 September 2017,317500.0,2,1.0,1000.0,5120.0,1.0,No,,Fair,6,1000.0,0,116,0,98122.0,47.6088,-122.307,1940.0,4300
1139000400,14 August 2017,430000.0,3,1.5,1550.0,5034.0,2.0,No,,Good,7,1550.0,0,96,0,98177.0,47.7072,-122.36,1820.0,7200
3298701025,15 April 2016,135000.0,2,1.0,750.0,5217.0,1.0,No,,Good,6,750.0,0,75,0,98106.0,47.5188,-122.353,760.0,4440
1498302774,14 May 2017,271310.0,2,1.0,870.0,5340.0,1.5,No,,Okay,6,870.0,0,112,0,98144.0,47.5849,-122.302,1190.0,4440
9276200190,15 April 2016,569950.0,5,1.0,1420.0,6250.0,1.5,No,,Good,8,1420.0,0,92,0,98116.0,47.5807,-122.389,1420.0,6250
2909300240,15 May 2016,725000.0,3,2.5,2810.0,6300.0,2.0,No,,Fair,8,2810.0,0,17,0,98074.0,47.6077,-122.02,2860.0,6630
1250200693,14 July 2017,515000.0,3,3.0,2100.0,2409.0,2.0,No,,Fair,8,1660.0,440,10,0,98144.0,47.5973,-122.298,1900.0,2400
3101500010,15 April 2016,320000.0,2,1.0,950.0,4000.0,1.0,No,,Fair,6,950.0,0,108,0,98144.0,47.5728,-122.312,1480.0,4000
2557000630,14 July 2017,266000.0,4,2.25,1995.0,7102.0,2.0,No,,Good,8,1995.0,0,37,0,98023.0,47.2986,-122.37,1880.0,7950
1324300091,14 May 2017,370000.0,3,1.0,800.0,2296.0,1.0,No,,Good,6,800.0,0,110,0,98103.0,47.6546,-122.356,1480.0,1472
2826049260,14 June 2017,482500.0,4,3.0,1630.0,7626.0,1.0,No,,Excellent,7,1110.0,520,28,0,98125.0,47.7168,-122.308,1630.0,8082
3342100421,15 April 2016,745000.0,4,2.5,3170.0,5100.0,2.0,No,,Fair,9,3170.0,0,6,0,98056.0,47.5187,-122.208,1580.0,5100
3524049083,14 November 2017,445000.0,4,1.75,2100.0,4400.0,1.5,No,,Excellent,7,1720.0,380,94,0,98118.0,47.5299,-122.266,1850.0,4400
9103000393,14 September 2017,1230000.0,5,4.5,3732.0,4426.0,2.5,No,,Fair,10,2932.0,800,17,0,98112.0,47.6189,-122.288,2950.0,4000
3121059033,14 October 2017,325000.0,3,1.0,1490.0,57381.0,1.5,No,,Good,5,1490.0,0,86,0,98092.0,47.2597,-122.228,1580.0,101529
7853240200,14 May 2017,619000.0,3,2.5,2720.0,6439.0,2.0,No,,Fair,9,2720.0,0,13,0,98065.0,47.5422,-121.86,3180.0,7320
7950700120,14 December 2017,279000.0,4,2.0,1980.0,10051.0,1.0,No,,Fair,7,1980.0,0,49,2003,98092.0,47.3231,-122.103,1520.0,10125
1822059057,14 July 2017,152000.0,2,1.0,700.0,13500.0,1.0,No,,Fair,4,700.0,0,98,0,98031.0,47.3882,-122.208,1600.0,10124
1219000473,14 June 2017,164950.0,3,1.75,1570.0,15330.0,1.0,No,,Fair,7,1080.0,490,62,0,98166.0,47.4608,-122.34,1250.0,13330
9272201385,14 October 2017,677500.0,5,1.0,2340.0,4730.0,2.0,No,,Fair,8,1810.0,530,100,0,98116.0,47.5895,-122.385,2100.0,4970
1336800185,14 June 2017,1190000.0,3,2.75,2500.0,5568.0,2.0,No,,Excellent,9,2500.0,0,113,0,98112.0,47.6258,-122.312,2810.0,5568
9268851630,14 June 2017,520000.0,3,3.25,1540.0,1487.0,2.0,No,,Fair,8,1540.0,0,7,0,98027.0,47.5397,-122.027,1620.0,1104
2788400315,14 September 2017,265000.0,3,1.0,1400.0,9460.0,1.0,No,,Fair,7,1060.0,340,57,0,98168.0,47.5119,-122.321,1570.0,7700
3529000930,14 June 2017,530000.0,4,2.5,2050.0,6360.0,2.0,No,,Fair,8,2050.0,0,30,0,98029.0,47.5641,-122.011,2070.0,7541
5631500967,15 February 2016,476000.0,4,1.75,2340.0,17541.0,1.0,No,,Good,7,1360.0,980,62,0,98028.0,47.745,-122.229,2250.0,9212
2188201010,15 January 2016,245000.0,3,2.25,1530.0,12000.0,1.0,No,,Fair,7,1070.0,460,39,0,98023.0,47.2715,-122.338,2140.0,13636
8562970040,14 May 2017,655000.0,5,3.25,3690.0,12353.0,2.0,No,,Excellent,9,3690.0,0,41,0,98155.0,47.7672,-122.292,2290.0,9082
4415600030,15 March 2016,433000.0,3,2.75,2000.0,7200.0,1.0,No,,Fair,7,1000.0,1000,64,2014,98166.0,47.4531,-122.352,1440.0,7200
2473251170,14 June 2017,302000.0,4,1.75,1530.0,17664.0,1.5,No,,Fair,7,1530.0,0,50,0,98058.0,47.4549,-122.155,1530.0,11625
7511200020,14 August 2017,509900.0,3,1.75,1690.0,53578.0,1.0,No,,Fair,8,1690.0,0,34,0,98053.0,47.6546,-122.049,2290.0,52707
1163400020,15 April 2016,251000.0,3,1.5,1590.0,21600.0,1.5,No,,Good,7,1590.0,0,47,0,98022.0,47.2159,-121.966,1780.0,21600
5412400180,15 April 2016,267500.0,3,2.5,1400.0,7629.0,1.0,No,,Fair,7,1120.0,280,30,0,98030.0,47.3788,-122.179,1530.0,7688
255450400,14 July 2017,326989.0,3,2.5,2060.0,4200.0,2.0,No,,Fair,8,2060.0,0,4,0,98038.0,47.3706,-122.017,2370.0,4200
1687000210,14 July 2017,275000.0,3,2.5,2497.0,4400.0,2.0,No,,Fair,8,2497.0,0,11,0,98001.0,47.2873,-122.283,2434.0,4400
6749700004,15 March 2016,291000.0,2,1.0,840.0,863.0,3.0,No,,Fair,8,840.0,0,10,0,98103.0,47.6974,-122.349,1110.0,1190
2738650030,15 May 2016,552500.0,3,2.5,2450.0,3582.0,2.0,No,,Fair,9,2450.0,0,10,0,98072.0,47.7749,-122.159,2490.0,5449
9136100420,15 April 2016,767500.0,4,2.0,2350.0,4815.0,1.5,No,,Good,7,1450.0,900,104,0,98103.0,47.6681,-122.338,1640.0,4013
1924069115,15 February 2016,873000.0,3,2.25,2720.0,54450.0,2.0,No,,Fair,10,2720.0,0,21,0,98027.0,47.5473,-122.092,3170.0,60548
714000155,14 December 2017,670000.0,3,1.0,1710.0,6195.0,1.0,No,,Fair,7,1410.0,300,72,0,98105.0,47.6706,-122.265,1610.0,6195
904000045,14 June 2017,1290000.0,3,2.5,2190.0,11394.0,1.0,No,,Fair,8,1550.0,640,62,0,98199.0,47.6685,-122.409,2190.0,9540
3395070640,14 September 2017,300000.0,3,2.5,1320.0,2614.0,2.0,No,,Fair,7,1320.0,0,13,0,98118.0,47.5355,-122.283,1320.0,2533
6308000010,14 December 2017,585000.0,3,2.5,2290.0,5089.0,2.0,No,,Fair,9,2290.0,0,17,0,98006.0,47.5443,-122.172,2290.0,7984
2695600130,14 November 2017,355000.0,2,1.0,1250.0,4558.0,1.0,No,,Fair,7,1250.0,0,70,0,98126.0,47.5318,-122.379,1180.0,4494
3626039279,14 August 2017,395000.0,2,1.0,960.0,6700.0,1.0,No,,Fair,7,960.0,0,67,0,98103.0,47.6955,-122.357,1350.0,6700
1623089039,14 December 2017,275000.0,2,1.0,900.0,57063.0,1.0,No,,Good,6,900.0,0,80,0,98045.0,47.4735,-121.786,1440.0,268765
3438501327,15 May 2016,352500.0,2,2.5,1570.0,2399.0,2.0,No,,Fair,7,1180.0,390,9,0,98106.0,47.5488,-122.364,1590.0,2306
8118600025,15 March 2016,552500.0,4,1.0,1560.0,7980.0,1.0,No,,Good,7,1170.0,390,79,0,98146.0,47.5093,-122.387,1570.0,7980
7625703435,15 January 2016,885000.0,3,2.25,2940.0,6500.0,3.0,No,,Fair,9,2940.0,0,4,0,98136.0,47.5482,-122.388,1680.0,6500
1807900300,14 December 2017,830000.0,6,3.0,2530.0,9000.0,1.0,No,,Fair,6,2530.0,0,40,0,98033.0,47.6716,-122.199,1886.0,6000
1862900360,14 September 2017,315000.0,3,2.5,1950.0,9618.0,2.0,No,,Fair,7,1950.0,0,26,0,98031.0,47.4068,-122.18,1890.0,7133
2768100186,14 June 2017,515000.0,3,3.5,1360.0,1419.0,2.0,No,,Fair,8,1040.0,320,11,0,98107.0,47.6697,-122.371,1560.0,1977
2524059269,14 June 2017,915000.0,6,3.75,2930.0,14980.0,2.0,No,Thrice,Fair,9,2930.0,0,5,0,98006.0,47.5441,-122.117,3210.0,10787
1126059108,15 April 2016,1200000.0,4,3.5,3930.0,43560.0,2.0,No,,Fair,10,3930.0,0,15,0,98072.0,47.7497,-122.121,2860.0,36460
7856610130,14 July 2017,840000.0,4,2.25,2720.0,8712.0,2.0,No,,Good,9,2720.0,0,42,0,98006.0,47.5616,-122.153,2470.0,8714
7203000200,14 December 2017,325000.0,3,1.5,1890.0,7650.0,1.0,No,,Excellent,7,1890.0,0,52,0,98003.0,47.3454,-122.314,1510.0,7560
3630120700,14 May 2017,757000.0,3,3.25,3190.0,5283.0,2.0,No,,Fair,9,3190.0,0,11,0,98029.0,47.5534,-122.002,2950.0,5198
1612500090,15 March 2016,225800.0,4,1.0,1100.0,7110.0,1.0,No,,Good,7,880.0,220,111,0,98030.0,47.3858,-122.227,1150.0,7110
3586500620,14 August 2017,685000.0,4,2.5,2650.0,25248.0,1.0,No,Twice,Fair,9,2330.0,320,64,0,98177.0,47.7537,-122.373,3020.0,23135
5207200360,14 September 2017,420000.0,2,1.0,930.0,5368.0,1.0,No,,Good,7,930.0,0,65,0,98115.0,47.6952,-122.275,1770.0,6000
6675500035,14 June 2017,435000.0,3,1.75,1500.0,8173.0,1.0,No,,Fair,7,1500.0,0,21,0,98034.0,47.7293,-122.227,1970.0,8173
1781500385,14 August 2017,296500.0,3,1.0,1280.0,5100.0,1.0,No,,Fair,7,1280.0,0,70,0,98126.0,47.5259,-122.38,1380.0,7140
1150900080,15 April 2016,846450.0,4,2.5,3710.0,7491.0,2.0,No,,Fair,9,3710.0,0,15,0,98029.0,47.5596,-122.016,3040.0,7491
9541600355,14 August 2017,880000.0,4,2.5,3070.0,8250.0,1.0,No,,Excellent,8,2100.0,970,60,0,98005.0,47.5935,-122.172,2270.0,8800
7525530670,14 November 2017,745000.0,4,2.5,3130.0,10860.0,2.0,No,,Fair,10,3130.0,0,28,0,98075.0,47.56,-122.04,3130.0,10860
844000375,15 March 2016,335000.0,4,1.5,3160.0,19745.0,1.5,No,,Good,6,1840.0,1320,50,0,98010.0,47.3103,-122.006,1540.0,8611
9578140180,14 June 2017,329950.0,3,2.5,2456.0,7566.0,2.0,No,,Fair,8,2456.0,0,6,0,98023.0,47.297,-122.351,2478.0,7212
9558041130,14 September 2017,345000.0,3,2.5,1870.0,3584.0,2.0,No,,Fair,8,1870.0,0,15,0,98058.0,47.4521,-122.121,1900.0,3920
1788800910,14 October 2017,190000.0,3,1.0,1200.0,10458.0,1.0,No,,Good,6,1200.0,0,57,0,98023.0,47.3262,-122.342,1160.0,9000
9550200225,14 July 2017,625000.0,3,1.5,1230.0,3060.0,1.0,No,,Fair,7,910.0,320,91,0,98103.0,47.667,-122.333,1260.0,4488
8643200055,14 June 2017,243000.0,3,1.75,1790.0,12000.0,1.0,No,,Fair,7,1040.0,750,58,0,98198.0,47.3945,-122.313,1840.0,12000
6143000020,15 April 2016,299000.0,3,1.75,1910.0,17003.0,1.5,No,,Good,8,1910.0,0,55,0,98001.0,47.3095,-122.283,1820.0,14806
8941100095,14 September 2017,1110000.0,6,4.0,3600.0,6224.0,2.0,No,,Fair,9,2610.0,990,73,2006,98199.0,47.6531,-122.405,1430.0,6224
